timestamp,sat_id,sat_name,latency_ms,station_id,station_name,latitude,longitude,elevation_m,antenna_gain_dBi,f107_flux,ap_index,day_of_week,day_of_month,month,hour,is_weekend,days_since_start,hour_bucket,msg_count_hour,msg_count_sat_hour,rolling_latency_50,inter_arrival_time,cumulative_msg_count
2025-07-07 01:18:19.245024,62105,STARLINK-33542,7.046746628403986,STAT002,"Hawthorne, CA",33.9226,-118.3345,50,48,118,20,0,7,7,1,0,0,2025-07-07 01:00:00,1,1,7.046746628403986,0.0,1
2025-07-17 18:13:15.036384,64192,STARLINK-34265,7.679317588991226,STAT005,"Cape Town, South Africa",-33.9249,18.4241,15,46,156,14,3,17,7,18,0,10,2025-07-17 18:00:00,1,1,7.363032108697606,924895.79136,2
2025-07-18 03:56:45.972672,47735,STARLINK-2146,3.783593679827258,STAT004,"Seongnam, South Korea",37.4138,127.5183,80,47,156,9,4,18,7,3,0,11,2025-07-18 03:00:00,1,1,6.169885965740824,35010.936288,3
2025-07-18 08:32:20.556672,55595,STARLINK-5740,5.9090665922222865,STAT003,"Madrid, Spain",40.4314,-3.7026,650,50,156,9,4,18,7,8,0,11,2025-07-18 08:00:00,1,1,6.104681122361189,16534.584,4
2025-07-18 15:07:54.730848,64383,STARLINK-34299,9.658608071483721,STAT005,"Cape Town, South Africa",-33.9249,18.4241,15,46,156,9,4,18,7,15,0,11,2025-07-18 15:00:00,1,1,6.815466512185695,23734.174176,5
2025-07-18 23:37:20.294688,58781,STARLINK-31099,7.319875732790136,STAT005,"Cape Town, South Africa",-33.9249,18.4241,15,46,156,9,4,18,7,23,0,11,2025-07-18 23:00:00,1,1,6.899534715619769,30565.56384,6
2025-07-19 02:02:04.274016,64484,STARLINK-34509,4.1507877014197545,STAT001,"Wallops Island, VA",37.9375,-75.4667,6,45,153,8,5,19,7,2,1,12,2025-07-19 02:00:00,1,1,6.506856570734052,8683.979328,7
2025-07-19 03:49:08.102784,58859,STARLINK-31197,10.400187558449167,STAT004,"Seongnam, South Korea",37.4138,127.5183,80,47,153,8,5,19,7,3,1,12,2025-07-19 03:00:00,1,1,6.993522944198442,6423.828768,8
2025-07-19 04:39:55.492128,64282,STARLINK-34381,7.481771985535371,STAT006,"Perth, Australia",-31.9505,115.8605,100,49,153,8,5,19,7,4,1,12,2025-07-19 04:00:00,2,1,7.047772837680323,3047.389344,9
2025-07-19 04:49:24.033504,58778,STARLINK-31120,8.609669111633055,STAT001,"Wallops Island, VA",37.9375,-75.4667,6,45,153,8,5,19,7,4,1,12,2025-07-19 04:00:00,2,1,7.203962465075596,568.541376,10
2025-07-19 05:45:41.171904,53555,STARLINK-4504,6.603801644494691,STAT003,"Madrid, Spain",40.4314,-3.7026,650,50,153,8,5,19,7,5,1,12,2025-07-19 05:00:00,1,1,7.149402390477332,3377.1384,11
2025-07-19 06:16:07.030272,53157,STARLINK-4093,5.831238808717087,STAT004,"Seongnam, South Korea",37.4138,127.5183,80,47,153,8,5,19,7,6,1,12,2025-07-19 06:00:00,1,1,7.0395554253306445,1825.858368,12
2025-07-19 10:23:28.897440,64195,STARLINK-33857,6.376649186479989,STAT003,"Madrid, Spain",40.4314,-3.7026,650,50,153,8,5,19,7,10,1,12,2025-07-19 10:00:00,1,1,6.988562637726749,14841.867168,13
2025-07-19 11:38:31.078752,45052,STARLINK-1148,5.814387718854663,STAT004,"Seongnam, South Korea",37.4138,127.5183,80,47,153,8,5,19,7,11,1,12,2025-07-19 11:00:00,1,1,6.904693000664457,4502.181312,14
2025-07-19 12:26:13.951392,55657,STARLINK-5328,6.976724860625643,STAT006,"Perth, Australia",-31.9505,115.8605,100,49,153,8,5,19,7,12,1,12,2025-07-19 12:00:00,1,1,6.909495124661869,2862.87264,15
2025-07-19 14:32:09.252096,53776,STARLINK-4708,9.437800697716028,STAT003,"Madrid, Spain",40.4314,-3.7026,650,50,153,8,5,19,7,14,1,12,2025-07-19 14:00:00,2,1,7.067514222977754,7555.300704,16
